Full Name,First Name,Last Name,Headline,Bio,Reference
CONSTANCE MUDENDA,CONSTANCE,MUDENDA,(RED) Ambassador and AIDS activist,"Constance “Connie” Mudenda is a (RED) Ambassador and AIDS Activist. She uses her own experiences to help others fight stigma, encourage people to get tested and coach people on the importance of adhering to treatment regimens.  Connie currently serves as an Assistant Project Coordinator for the EU-Zambia Prisons Health Systems Strengthening, a project run by the Centre for Infectious Disease Research in Zambia. Connie is responsible for developing, implementing, and monitoring programs for at-risk individuals in the Zambia Prisons System, where systemic failures, overcrowding, and poor care exacerbate the spread of HIV. Previously, Connie served as an Implementation Officer for Save the Community’s Voluntary Counselling & Testing (VCT) campaign. Connie worked on managing door-to-door campaigns that encouraged Zambians to know their HIV status and get life-saving treatment.
 
Connie - who is HIV positive - is living proof of the lifesaving power of anti-retroviral medication (ARVs). In the 1990s, before ARV treatment was available in Zambia, Connie lost all three of her children to AIDS.  After enduring this tragic loss, Connie tested positive for HIV and in 2004, she started ARV treatment.
 
In 2012, Connie had a daughter, named Lubona, who was born HIV-free thanks to her mother’s access to ARV medication during pregnancy.  Lubona, now aged 3, is thriving and doing well at school.",https://www.salesforce.com/dreamforce/DF16/keynotes-mudenda
"LARRY BRILLIANT, MD MPH DSc",LARRY,"BRILLIANT, MD MPH DSc","Chairman, Skoll Global Threats Fund","Winner TED Prize, TIME 100 most influential people
Dr. Larry Brilliant is a pioneering physician, visionary technologist, global philanthropist, and author of the forthcoming memoir Sometimes Brilliant,  stories about his spiritual awakening while working to eradicate smallpox in India (HarperOne October 2016).  
Dr. Brilliant currently serves as the Chair of the Skoll Global Threats Fund which focuses on ending pandemics and the threats posed by climate change, water, and nuclear weapons.  He is also a board member of Salesforce.org which focuses on breakthrough improvements in pre k-12 education, especially in the Bay Area.
Prior to helping Jeff Skoll establish the Skoll Global Threats Fund, Larry served as the inaugural Executive Director of Google.org and worked with Larry Page, Sergey Brin and Sheryl Sandberg to define Google’s philanthropic efforts. He is a co-founder and former head of The Seva Foundation, whose programs and grantees have given sight to more than 4 million blind people in dozens of countries.  Larry lived and studied religions and spiritual life in an ashram in the Himalayas before becoming a central figure working for the World Health Organization in India, helping spearhead the effort to eradicate smallpox in Asia.  Dr. Brilliant has worked with the United Nations and WHO to improve the lives of those living with smallpox, polio, and blindness and had volunteered in refugee camps for victims of tsunami and other disasters.
In addition to his medical and spiritual work, Larry is a “techie.” He conceived and co-founded The Well, a pioneering virtual community, with Stewart Brand in 1985. He holds a telecommunications technology patent and was CEO of two public companies and other venture-backed startups. He says he would like to trade stories with any startup working with a difficult board as he was once CEO of a joint venture of AT&T, IBM, and Intel and can tell very funny stories about those board meetings.  He has worked on numerous movies including Contagion, Unseen Enemies, the forthcoming HBO film Open Your Eyes (which he produced), Saint Mis’Behaving (about his friend, the clown, Wavy Gravy), Fierce Grace, the forthcoming CNN film Unseen Enemy, Medicine Ball Caravan, Hare Rama Hare Krishna, and The Final Inch, which was nominated for an Oscar.  He is much in demand as a public speaker, and has received several honorary doctorates and awards for his work.",https://www.salesforce.com/dreamforce/DF16/keynotes-brilliant/
SHAHRZAD RAFATI,SHAHRZAD,RAFATI,"Founder & CEO, BroadbandTV","Shahrzad Rafati is the Founder and CEO of BroadbandTV, an innovative media and technology company that drives success for online video creators by leveraging its premium media brands, proprietary technology, and massive online reach. Recognized by Fast Company as one of the 100 Most Creative People in Business, Shahrzad is accredited with pioneering both the technology and business model that made peace between large entertainment entities like the NBA and their fans that were uploading premium content online.
Shahrzad has been the spirited drive and energy that has propelled BroadbandTV to success. She has personally brokered successful deals with major media companies, music publishers, telcos, professional sports leagues and Internet giants. BroadbandTV operates the world’s largest Multi-Platform Networks with 76,000 network partners amassing over 16 billion impressions per month. In 2013, Shahrzad closed a strategic partnership and investment with RTL Group, Europe’s largest entertainment network, and a unit of Bertelsmann, one of the world’s largest media companies.
Shahrzad has been broadly recognized by numerous industry and community groups for her contributions to the media industry, and entrepreneurship. In 2014, The Vancouver Economic Commission appointed Shahrzad to its Board of Directors and the World Economic Forum welcomed Shahrzad as a Young Global Leader (YGL). In 2015 Shahrzad was awarded Woman of the Year by the Business Intelligence Group, named a Young Influential by Adweek, and Variety Magazine included Shahrzad in its Power of Women list. Shahrzad also graduated from the YGL Oxford Module: Transformational Leadership at Saïd Business School, University of Oxford and is actively involved with Founders Forum
She was previously awarded Executive of The Year by The Digi Awards, named Ernst & Young’s, Pacific Emerging Entrepreneur of the Year and voted Business In Vancouver’s CEO of The Year. BroadbandTV has been named both Playback Magazine and the Business Intelligence Group’s Company of The Year.
Shahrzad is a highly sought after speaker for a number of industry events. Speaking engagements to date include VidCon alongside YouTube CEO Susan Wojcicki, Web Summit, MIPCOM, CES, Newfronts, Austrian Media Days, Digital Life Design (DLD), CABSAT, TEDx Vancouver, and Medientage Munchen.
Shahrzad is also a known thought leader in the entrepreneurship and media & technology space, regularly contributing to Fortune Magazine and the Wall Street Journal.
In addition to BroadbandTV achievements, Shahrzad actively pursues ways to encourage social change. She is the co-founder of the world’s first Chopra Yoga in partnership with Dr. Deepak Chopra and has investments in a broad portfolio of businesses.",https://www.salesforce.com/dreamforce/DF16/keynotes-rafati/
JEFF LAWSON,JEFF,LAWSON,"Chairman, CEO and Co-Founder, Twilio","Jeff is a serial inventor with over 15 years of entrepreneurial and product experience. Prior to co-founding Twilio, Jeff was Founder & CTO of NineStar, Founding CTO of Stubhub.com and Founder, CEO & CTO of Versity. He was also one of the original product managers for Amazon Web Services. At every business, Jeff identified the fundamental need for a platform for developers and companies to easily build communications-based business solutions. Jeff grew up in the suburbs of Detroit, started his first company in middle school, and earned his BS in Computer Science & Film/Video from University of Michigan.",https://www.salesforce.com/dreamforce/DF16/keynotes-lawson
BERNARD J. TYSON,BERNARD,J. TYSON,"Chairman and CEO, Kaiser Permanente","Bernard J. Tyson is the chairman and CEO of Kaiser Foundation Health Plan, Inc., and Hospitals – known as Kaiser Permanente – one of America’s leading integrated health care providers and not-for-profit health plans. With annual operating revenue of nearly $62 billion, Kaiser Permanente serves more than 10.6 million members in eight states and the District of Columbia.
Tyson assumed the role of chairman in January 2014 and has served as CEO since July 1, 2013. His career at Kaiser Permanente has spanned more than 30 years, and he has successfully managed all major aspects of the organization, serving in roles from hospital administrator to division president to president and chief operating officer of the Oakland, California-based health care organization.
Under Tyson’s leadership, Kaiser Permanente is delivering on its “Thrive” promise through an industry-leading 21st century approach to health care and health care coverage that is helping members achieve their aspirations of total health. Kaiser Permanente’s 190,000 employees and 18,000 physicians consistently deliver some of the best clinical outcomes in the nation, while the organization also is recognized as a leader in prevention, patient safety, quality and affordability.
Tyson believes Kaiser Permanente’s demonstrated ability to deliver high-quality and affordable health care through this combination of prevention, innovation, and integration can serve as the model for health care in America. In fact, the strength of Kaiser Permanente’s approach is evident today in the continued increase in partnerships between health plans, hospitals and medical practices across the health care industry, based on the Kaiser Permanente model.
As chairman and CEO, Tyson is dedicated to leading Kaiser Permanente and the health care industry to deliver greater affordability for members, consumers, employers and government agencies. He is actively addressing the rising cost of drugs and is a strong advocate for the elimination of health care disparities by promoting the use of aggregated data from members’ electronic health records to determine the most effective treatments for optimal clinical outcomes.
Tyson’s influence has been felt both nationally and internationally. In 2015, Modern Healthcare named him the third most influential leader in health care – marking the second consecutive year he has been the top-ranked executive on this list.
A San Francisco Bay Area native, Tyson earned a Bachelor of Science in health service management and a Master of Business in health service administration from Golden Gate University in San Francisco. He also earned a leadership certificate from Harvard University. He serves on the board of directors of the American Heart Association (AHA), America’s Health Insurance Plans (AHIP) and the International Federation of Health Plans. He also serves on the AHA’s CEO Roundtable, and he recently completed service as co-chair of the World Economic Forum Health Governors’ Community from 2013-2015 and chair of the Executive Leadership Council in 2012-2014. He was awarded the NAACP Legal Defense and Educational Fund’s 2014 National Equal Justice Award.",https://www.salesforce.com/dreamforce/DF16/keynotes-tyson
ELIZABETH GILBERT,ELIZABETH,GILBERT,Author of Eat Pray Love and Big Magic,"Best-known for her 2006 runaway bestseller Eat Pray Love, Elizabeth Gilbert is unquestionably one of her generation’s most beloved memoirists. Eat Pray Love, which has sold more than ten million copies worldwide, is Gilbert’s memoir of soul-searching and international exploration in the wake of her devastating divorce. Her latest bestseller, Big Magic: Creative Living Beyond Fear, is a brilliant nonfiction treatise on creativity.  Gilbert’s most recent novel, The Signature of All Things, has been optioned by PBS’s Masterpiece.  A sweeping story of botany, exploration and desire, spanning much of the 19th century, The Signature of All Things was lauded by O Magazine as “the novel of a lifetime” and named as one of the “Best Books of 2013” by the New York Times, O Magazine, NPR, and Time Magazine.  Prior to writing Eat Pray Love, Gilbert was a distinguished journalist who wrote regularly for Harper’s Bazaar, Spin, The New York Times Magazine, and GQ.  Her book The Last American Man was a finalist for the National Book Award in 2002.",https://www.salesforce.com/dreamforce/DF16/keynotes-gilbert/
MARK DYBUL,MARK,DYBUL,"Executive Director, The Global Fund to Fight AIDS, Tuberculosis, and Malaria","Mark Dybul is the Executive Director of the Global Fund to Fight AIDS, Tuberculosis and Malaria. Dybul has worked on HIV and public health for more than 25 years as a clinician, scientist, teacher and administrator.

 After graduating from Georgetown Medical School in Washington D.C., Dybul joined the National Institute of Allergy and Infectious Diseases where he conducted basic and clinical studies on HIV virology, immunology and treatment optimization, including the first randomized, controlled trial with combination antiretroviral therapy in Africa. Dybul became a founding architect and driving force in the implementation of the President’s Emergency Plan for AIDS Relief, better known as PEPFAR. After serving as Chief Medical Officer, Assistant, Deputy and Acting director, in 2006 he was appointed as its leader, becoming U.S. Global AIDS Coordinator, with the rank of Ambassador at the level of an Assistant Secretary of State. He served until early 2009. Dybul is a Professor of Medicine, Department of Medicine, Georgetown University School of Medicine, 2014 to present. He has written extensively in scientific and policy literature, and has received several Honorary Degrees and awards.",https://www.salesforce.com/dreamforce/DF16/keynotes-dybul
JEAN-PASCAL TRICOIRE,JEAN-PASCAL,TRICOIRE,"Chairman and CEO​, Schneider Electric","Jean-Pascal Tricoire, 52 years old, joined Schneider Electric in 1986. He was appointed President

and Chief Executive Officer in 2006 and named Chairman & CEO in April 2013.

His career at Schneider Electric has developed largely outside France in operational functions in

Italy, China, South Africa and USA. Within the General Management, he served as Vice Executive

President of the International Operating Division from 2002 before being appointed in 2004 Chief

Operating Officer (COO).


Moreover, Jean-Pascal is President of the France-China Committee since 2009.


Jean-Pascal holds a degree in Electronic Engineering and a MBA.",https://www.salesforce.com/dreamforce/DF16/keynotes-tricoire
DANA MCILWAIN,DANA,MCILWAIN,"Chief Administrative Officer & Global Operations Leader, PwC","Dana Mcilwain is the Chief Administrative Officer and Operations Leader for the PwC network, and is based in New York. Dana’s primary responsibility is to ensure the PwC network is Fit for Growth by teaming to drive PwC’s strategic planning and investments; strategic cost management; strategic combinations and integrations; and technology enablement.
Prior to his current role, Dana was the Vice Chairman and Services Leader for PwC US with responsibility for US Advisory, Assurance and Tax businesses. He has served in a wide range of management roles for PwC US Assurance and Advisory businesses, including the US Advisory Leader role, as well as several governance roles in PwC US and the PwC network.
Over the course of his 32 year career with PwC, he has provided risk assurance and consulting services to a wide range of multi-national clients, with a particular focus in the Technology, Entertainment and Media industries. He currently serves as PwC's Executive Sponsor for their Global Salesforce Alliance.
Dana is a Certified Public Accountant in the US and a member of the American Institute of Certified Public Accountants. He serves on the Business School Council for the A.B. Freeman School of Business at Tulane University where he earned a degree in Management. He and his wife reside in New York.",https://www.salesforce.com/dreamforce/DF16/keynotes-mcilwain/
CAROLYN PORCO,CAROLYN,PORCO,"Planetary Scientist & Cassini Imaging Team lead, UC Berkeley","Carolyn Porco is a planetary scientist, the leader of the imaging science team on the Cassini mission presently in orbit around Saturn, a veteran imaging scientist of the Voyager mission to the outer solar system in the 1980s, and an associate member of the New Horizons mission to Pluto and the Kuiper Belt. Carolyn has co-authored over 120 scientific papers on a variety of subjects in astronomy and planetary science and has become a regular public commentator on science, astronomy, planetary exploration, and the intersection of science and religion. Her popular science writings have appeared in such distinguished publications as the London Sunday Times, The New York Times, The Wall Street Journal, the Guardian, Astronomy magazine, the PBS and BBC websites, the Arizona Daily Star, Sky and Telescope, Scientific American, and American Scientist.
Carolyn is a popular public lecturer and speaks frequently on the Cassini mission and planetary exploration in general. She has presented at such renowned cross-disciplinary conferences as TED (2009, 2007) and PopTech (2006, 2005). She also appears frequently in the media; as of 2016, she is a StarTalk All Stars radio talk-show host. Carolyn is the CEO and President of Diamond Sky Productions, LLC
For the 1997 film Contact, Carolyn was asked by fellow astronomer and Contact author Carl Sagan to serve as the consultant on the main character, Ellie Arroway In 2008, she was a science consultant on the 2009 release of Paramount Pictures' Star Trek. Carolyn was responsible for the proposal to honor the late renowned planetary geologist Eugene Shoemaker by sending a portion of his cremains to the moon aboard the Lunar Prospector spacecraft.  She joined Carl Sagan in the planning and execution of the 1990 ""Portrait of the Planets"" taken with the Voyager 1 spacecraft, which included the famous Pale Blue Dot image of Earth.  She is the creator of The Day The Earth Smiled, an event that took place on July 19, 2013, when Cassini pointed sunward to image Saturn, its rings and the Earth. This long-distance photo of Earth was taken with the full advance knowledge of members of the public, who were invited to take part in a day of reflection and celebration of humanity's place in the cosmos. The event was enjoyed by people all over the globe.
Carolyn has been the recipient of a number of awards and honors for her contributions to science and the public sphere. She is the namesake of Asteroid (7231) Porco, which was named to honor her work in planetary science. In 1999, she was selected by the London Sunday Times as one of 18 scientific leaders of the 21st century, and by Industrial Week as one of ""50 Stars to Watch"". In 2009, New Statesman named her as one of the ""50 People Who Matter Today."" In 2010 she was awarded the Carl Sagan Medal, presented by the American Astronomical Society for Excellence in the Communication of Science to the Public. And in 2012, she was named one the 25 most influential people in space by TIME magazine. Since 2015, Carolyn has been a visiting distinguished scholar at the University of California at Berkeley and a fellow of the California Academy of Sciences.",https://www.salesforce.com/dreamforce/DF16/keynotes-porco
SUKHINDER SINGH CASSIDY,SUKHINDER,SINGH CASSIDY,"CEO & Founder, Joyus, Founder, theBoardlist","Sukhinder Singh Cassidy is a leading technology executive and entrepreneur. She is currently Founder & CEO of JOYUS, the leading online video entertainment network dedicated to shopping. Headquartered in San Francisco, with offices in LA and New York, JOYUS is funded by leading investors and media companies, including Accel Partners, Marker LLC, Time Warner Investments and Disney’s Steamboat Ventures. Prior to founding JOYUS in 2011, Sukhinder was President of Asia Pacific and Latin America at Google (2003 -2009), CEO of Polyvore (2010) and founder and SVP of Business Development of Yodlee (YDLE) (1999-2003). In addition Sukhinder serves as a Director of TripAdvisor Inc (TRIP) and Ericsson (ERIC) and has previously served as a Director of J.Crew Group and Advisor to Twitter (TWTR).
Sukhinder is also founder of #choosepossibility and theBoardlist, launched in July 2015 and aimed at accelerating business performance globally through gender diversity. theBoardlist is a premium talent marketplace where business leaders come together to nominate and discover great female candidates for boards, starting with the technology industry.
For her work, Sukhinder has been recognized and profiled in numerous publications including Fortune, Forbes, Business Week, the New York Times, the Wall Street Journal, Bloomberg, Recode, USA Today, Techcrunch, Inc, Wired, Business Insider, Women’s Wear Daily, Vogue, Marie Claire, and Glamour.",https://www.salesforce.com/dreamforce/DF16/keynotes-cassidy
ALAN MURRAY,ALAN,MURRAY,"Chief Content Officer, TIME Inc.,  Editor in Chief, Fortune","Alan Murray is Chief Content Officer of Time Inc. In this role, Alan oversees Time Inc.’s editorial policies and standards and is responsible for its commitment to quality journalism and storytelling. He is focused on harnessing the collective power and scale of all Time Inc.’s brands to produce and distribute content on every platform.
Alan also serves as Editor in Chief of Fortune, a position he has held since August 2014. He oversees Fortune’s print and digital operations, which has a combined audience of more than 15 million,* as well as Fortune’s conferences, including Fortune Global Forum, Fortune Brainstorm Tech, Fortune Brainstorm Green, and the Fortune Most Powerful Women series. Under Alan’s leadership, Fortune has tripled its digital audience, quadrupled its presence on social media, quintupled its video views and cut the average age of Fortune readers by a decade.
Alan’s diverse background includes serving as President of the Pew Research Center, hosting an eponymous show on CNBC and spending more than two decades at the Wall Street Journal, where he served stints overseeing digital operations and the Journal’s Washington bureau.
At Pew, from January 2013 to July 2014, Alan oversaw the rapid expansion of the center’s digital footprint, with website traffic doubling and social media referrals tripling during his time there. He also led the center into an exploration of new data methodologies in its research and an expansion of its global work.
At the Wall Street Journal, Alan served as Deputy Managing Editor and Executive Editor, Online, from 2007 to 2012, with editorial responsibility for the Journal’s websites, mobile products, television, video, books and conferences. He also spent a decade as the Journal’s Washington Bureau Chief, from 1993 to 2002, during which the bureau won three Pulitzer Prizes. Between his stints at the Journal, Alan served as CNBC’s Washington Bureau Chief from 2002 to 2005, co-hosting, Capital Report with Alan Murray and Gloria Borger. At various times, he wrote the Journal’s weekly Business and Political Capital columns and won numerous awards for his writing on economics and international issues.
Alan is the author of four books: The Wall Street Journal Guide to Management, Revolt in the Boardroom, The Wealth of Choices and Showdown at Gucci Gulch, coauthored with Jeffrey Birnbaum. He is a member of the Gridiron Club, the New York Economics Club and the Council on Foreign Relations, and he serves on the Governing Council of the Miller Center for Public Affairs at the University of Virginia.
Alan began his journalism career as the business and economics editor of the Chattanooga Times. He also worked at the Congressional Quarterly in Washington and at the Nihon Keizai Shimbun in Tokyo on a Luce Fellowship. He received a bachelor’s degree in English literature as a Morehead Scholar at the University of North Carolina and earned a master’s degree in economics at the London School of Economics. In 2005, Alan completed the Stanford Executive Program. He is married to Dr. Lori Murray, Adjunct Scholar at the Council on Foreign Relations and former Special Advisor to President Clinton on the Chemical Weapons Convention. They have two daughters, Lucyann and Amanda, and live in Greenwich, CT.
He is on Twitter @alansmurray.
*Source: MRI Spring 2015, comScore May 2016 vs. May 2015.",https://www.salesforce.com/dreamforce/DF16/keynotes-murray/
VICKI HUFF,VICKI,HUFF,"Global and US New Business Leader, PwC","With more than 25 years of experience in helping technology companies innovate and execute growth strategies, Vicki Huff leads PwC’s Global and US New Businesses, a unit formed to innovate and expand PwC’s offerings that build trust in society and solve important problems.  
Vicki’s passion for innovation has led to her successful development of several strategic partnerships between PwC and some of today’s most visionary tech companies – and the incorporation of innovative technologies into PwC consulting solutions. She continues this work today, leading the PwC’s New Businesses to help clients embrace emerging technologies to empower their business strategy.
Vicki’s clients represent the constantly evolving technology marketplace and range from startups to the largest technology organizations in the world.   She frequently advises executive management and boards to evolve their strategies to seize opportunities in this dynamic industry.
Vicki is a dedicated mentor, actively supporting rising leaders both within PwC and the larger marketplace, with a particular focus on advocating for women. She launched PwC’s Global Relationship Partner of the Future program, aimed at nurturing top-performing partners and preparing them for global leadership roles. During her time leading this initiative, Vicki was responsible for the development of over 350 top partners throughout the world. ",https://www.salesforce.com/dreamforce/DF16/keynotes-huff
GODFREY R. SULLIVAN,GODFREY,R. SULLIVAN,"Chairman of the Board, Splunk","Godfrey R. Sullivan has served as a member of our board of directors since 2008 and Chairman since 2011. Mr. Sullivan previously served as our President and Chief Executive Officer from 2008 to 2015. From 2001 to 2007, Mr. Sullivan was with Hyperion Solutions Corporation, a performance management software company (acquired by Oracle Corporation), where he served in various executive roles, most recently as President and Chief Executive Officer, and as a member of the board of directors from 2004 until 2007. Mr. Sullivan has served as a member of the board of directors of Citrix Systems, Inc., an enterprise software company, since 2005. Mr. Sullivan holds a B.B.A. from Baylor University.",https://www.salesforce.com/dreamforce/DF16/keynotes-sullivan
CLARA SHIH,CLARA,SHIH,"CEO and Founder, Hearsay","Clara Shih is CEO and founder of Hearsay Social, the complete client engagement platform that enables salespeople to reach out to clients at the right time with the right message while staying in compliance with industry regulations. A pioneer in the social media industry, Clara developed the first social business application in 2007 and subsequently authored the New York Times-featured best-seller, The Facebook Era. Her latest book, The Social Business Imperative: Adapting Your Business Model to the Always-Connected Customer, was released in April 2016.
Clara has been named one of Fortune’s “Most Powerful Women Entrepreneurs,” Fast Company’s “Most Influential People in Technology,” BusinessWeek’s “Top Young Entrepreneurs,” and a “Young Global Leader” by the World Economic Forum. She also has been listed in both Fortune’s and Ad Age’s “40 Under 40,"" as well as InvestmentNews’ “40 Under 40” and ThinkAdvisor's IA 35 for 35 “5 to Watch.""
Clara is a member of the Starbucks board of directors and previously served in a variety of technical, product, and marketing roles at Google, Microsoft, and Salesforce.com. ",https://www.salesforce.com/dreamforce/DF16/keynotes-shih/
"PARDIS SABETI, MD D.Phil.",PARDIS,"SABETI, MD D.Phil.","Computational Biologist, Harvard University","Dr. Pardis Sabeti is an Associate Professor at the Center for Systems Biology and Department of Organismic and Evolutionary Biology at Harvard University and the Department of Immunology and Infectious Disease at the Harvard School of Public Health, and an Institute Member of the Broad Institute of Harvard and MIT, and a Howard Hughes Investigator.
Dr. Sabeti is a computational geneticist with expertise developing algorithms to detect genetic signatures of adaption in humans and the microbial organisms that infect humans. Her lab’s key research areas include: (1) Developing analytical methods to detect and investigate evolution in the genomes of humans and other species (2) Examining host and viral genetic factors driving disease susceptibility to the devastating and deadly diseases in West Africa, Ebola Virus Disease and Lassa hemorrhagic fever.  (3) Investigating the genomes of microbes, including Lassa virus, Ebola virus, Plasmodium falciparum malaria, Vibrio cholera, and Mycobacterioum tuberculosis to help in the development of intervention strategies. (4) Determining the microbial cause of undiagnosed acute febrile illness.
Dr. Sabeti completed her undergraduate degree at MIT, her graduate work at Oxford University as a Rhodes Scholar, and her medical degree summa cum laude from Harvard Medical School as a Soros Fellow. Dr. Sabeti is a World Economic Forum (WEF) Young Global Leader and a National Geographic Emerging Explorer, and was named a TIME magazine ‘Person of the Year’ as one of the Ebola fighters. Her awards included the Smithsonian American Ingenuity Award for Natural Science, the Vilcek Prize for Creative Promise, the NIH Innovator Award, the Packard Fellowship, and an Ellis Island Medal of Honor. She has served on the MIT Board of Trustees and the National Academy of Sciences Committee on Women in Science, Medicine, and Engineering.
Dr. Sabeti is also the lead singer and co-song writer of the rock band Thousand Days.",https://www.salesforce.com/dreamforce/DF16/keynotes-sabeti
PAYAL KADAKIA,PAYAL,KADAKIA,"Co-founder and CEO, ClassPass","Payal Kadakia is the CEO and Co-Founder of ClassPass, a monthly membership program that provides people of all fitness levels unlimited access to the best boutique fitness classes and gyms across the US and internationally. Since its launch in 2013, ClassPass has facilitated over 20 million reservations across 8,000 studios in 39 cities globally​​. Payal is also the Founder and Artistic Director of The Sa Dance Company, founded in 2009 with the mission to increase awareness of Indian Dance in the mainstream and serve as a platform for expressing the Indian-American identity through movement. Payal previously worked as a consultant at Bain & Company and holds a degree in Operations Research from MIT.",https://www.salesforce.com/dreamforce/DF16/keynotes-kadakia
NISHAN DEGNARAIN,NISHAN,DEGNARAIN,"Oceans Chair, World Economic Forum","Nishan Degnarain chairs a Special Initiative on Oceans at the World Economic Forum.  He has built an innovative public-private partnership through which WEF is pioneering new approaches to large scale systems-change and reshaping global governance of our oceans using new technologies.
Nishan has spearheaded new models of sustainable economic growth in emerging markets and advises on integrated growth strategies. He has advised many of the world's leading companies and Governments with McKinsey and Co, the UK’s Prime Minister Strategy Unit and the BBC.  He was recognized as a Young Global Leader of the World Economic Forum for his work on new models of growth.
Nishan Degnarain is an economist with degrees from the University of Cambridge and Harvard University’s Kennedy School of Government.  He sits on various private and public sector boards, including as a member of the Monetary Policy Committee of the Central Bank of Mauritius and the National Ocean Council of Mauritius.",https://www.salesforce.com/dreamforce/DF16/keynotes-degnarain/
JEN PAHLKA,JEN,PAHLKA,"Founder, Code for America","Jennifer Pahlka is the founder and executive director of Code for America, a national non-profit that believes

that government can work for the people, by the people, if we all help. She recently served as the US Deputy

Chief Technology Officer in the White House Office of Science and Technology Policy, where she architected

and helped start the United States Digital Service. She is known for her TED talk, Coding a Better Government,

and the recipient of several awards, including MIT’s Kevin Lynch Award, the Oxford Internet Institute’s Internet

and Society Award, and the National Democratic Institute’s Democracy Award. She spent eight years at CMP

Media, where she ran the Game Developers Conference, Game Developer magazine, Gamasutra.com, and

the Independent Games Festival. Previously, she ran the Web 2.0 and Gov 2.0 events for TechWeb, in

conjunction with O’Reilly Media. She is a graduate of Yale University and lives in Oakland, Calif. with her

daughter, husband, and six chickens.",https://www.salesforce.com/dreamforce/DF16/keynotes-pahlka
