Name,Type,City,State or Country,Offical_Web,Introduction,Industries,Campaign,Transactions,Location,Team,References,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

    Show Less",[],[],,"Headquarters HQ
, 
Ontario, ON L1A
GB",Dimitrios Katsiklis,https://network.axial.net/company/wealthavenue-investment-synergies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

B. Michael Silber,Consultant ,San Francisco, CA,https://network.axial.net/a/company/b-michael-silber/,[],[],[],,"Headquarters HQ
827 Marina Boulevard, 
San Francisco, CA 94123
US",B. Michael Silber,https://network.axial.net/company/b-michael-silber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Magic Square Consulting,Consultant ,Portland, OR,https://network.axial.net/company/magic-square-consulting,"äó¢ Senior Business Transformation Leader with over 27 years of Technology and Business management including Business/IT alignment, ERP strategy, Roadmap planning and implementation experience across multiple industries äó¢ Senior stakeholder (CXO) relationship management äó¢ Extensive domestic and international experience in business process management, stakeholder management, SAP process and technology implementations, and process and application architecture management äó¢ Broad international experience in corporate finance and financial management processes äó¢ Deep experience in finance business process management and ERP solutions with ability to be an effective bridge between business and technology äó¢ Adept at negotiations and influence of stakeholders/decision makers äó¢ Proven success in thought leadership, strategy formulation, and problem solving. äó¢ Thrives in dynamic and fluid environments while remaining pragmatic and focused on business outcomes Specialties: äó¢ Business Transformation Roadmap äó¢ Enterprise and Business Solution Architecture äó¢ Enterprise Performance Management äó¢ Corporate Finance Management äó¢ IT Strategy and Roadmap planning äó¢ Technology Management äó¢ Program/Project Management äó¢ Business Process Management

    Show Less",Technology:Application Software; Financial Technology; Internet Software & Services; Software,[],,"Headquarters HQ
4245 Northwest Oxbridge Dr., 
Portland, OR 97229
US","Jake Krishnan
President",https://network.axial.net/company/magic-square-consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

AOC Investment Advisors,Consultant ,Boston, MA,https://www.wineassetmanagement.com/investment-managers,"Artnet.com, Vinfolio, Wealthfront, Betterment, Motif Investing, what all of these platforms have in common are engaged customers looking for advice on assets whether financial or tangible.AOC has the technology platform and infrastructure to capture demand in the $1 trillion specialized alternative or collectibles market. AOC believes, collectibles and investments of passion, are as much a part of the full wealth picture as traditional financial assets and the ultra high net worth demographics continue to support growth.  Our platform is mark to market, tied to the secondary market and gives clients the ability to see their assets just like any other asset on their brokerage statement. We provide advice, write research and offer full trading capabilities.

    Show Less","Consumer Services:Specialized Consumer Services

Financial Services:Asset Management & Custody Banks; Diversified Financials; Financial Technology",[],,"Headquarters HQ
20 Park Plaza, Suite 447
Boston, MA 02116
US","Jennifer Williams-Bulkeley
Managing Partner",https://network.axial.net/company/aoc-investment-advisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Pisgah Environmental Services,Consultant ,Asheville, NC,http://www.pisgah-air.com,"Pisgah Environmental Services is the only full-service air pollution consulting firm in WNC.  We conduct industrial air pollutant testing for environmental permit applications and compliance.   We write air permit applications and modifications and negotiate permit conditions with agencies.Other services include wastewater and stormwater permit application and compliance issues, industrial hygiene testing for OSHA compliance, and Phase I & II Environmental Site Assessments.","Industrials:Capital Goods; Electrical Components & Equipment; Industrial Machinery & Equipment

Manufacturing:Building Products; Heavy Electrical Equipment; Heavy Manufacturing; Industrial Machinery & Equipment; Light Manufacturing; Paper Packaging; Textiles

Materials:Metals & Mining; Nonmetallic Mineral Mining & Quarrying; Other Metal & Mineral Products

Technology:Electronic Components; Hardware; Semiconductors

Show Less",[],,"Headquarters HQ
9 Woodvale Avenue, 
Asheville, NC 28804
US","Dan March
Principal",https://network.axial.net/company/pisgah-environmental-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

euroconsult holding,Consultant ,Claymont, DE,https://network.axial.net/a/company/euroconsult-holding/,[],[],[],,"Headquarters HQ
619 New York Avenue, 
Claymont, DE 19703
US
Satellite 
Strada C.A. Rosetti 3, 
Cluj Napoca, CLUJ 400306
RO","Sorin Blaga
director",https://network.axial.net/company/euroconsult-holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Argent Advisors,Consultant ,Mumbai, Maharashtra,https://network.axial.net/a/company/argent-advisors/,"Argent Advisors is a boutique consulting firm founded by a Chartered Accountant with 25+ years of rich experience of corporate and investment consulting.

Argentäó»s 9 member team of CAäó»s and Management Graduates are equipped to provide full range of corporate advisory services to SMEäó»s; on strategy, from incubation to IPO; from concept to capital and from vision to valuation.

Over the years, Argent has created goodwill among HNIäó»s, VC/PE Funds, Investment Bankers besides a wide network of finance professionals that enables deal flows and deal conversions.",Generalist,[],,"Headquarters HQ
, 
Mumbai, Maharashtra 380009
IN",Arohi Parikh,https://network.axial.net/company/argent-advisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

JL White International,Consultant ,Carmel, CA,http://www.jlwhiteinternational.com,[],[],[],,"Headquarters HQ
225 Crossroads Blvd, Suite 373
Carmel, CA 93923
US","Jim White
CEO",https://network.axial.net/company/jl-white-international,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

The Resort Experience Company,Consultant ,Bellaire, MI,http://www.ResortsAndClubs.com,"Executive Summary 		             	  äóìYourFlagäóù             äóìAll the advantages of Franchising without the FranchiseäóùOur company owns äóìYourFlagäóù Experiences license rights äóñ we are working on the Utlity Patent.  	 äóìYourFlagäóù adds the Secret Sauce and Magic Solutions  to hospitality businesses that donot pass the franchise test, there is no franchise or the owners do not want to franchise.              äóìAll the advantages of  franchising without the franchiseäóù!               Video on äóìYourFlagäóù äóñ visit  www.ResortsAndClubs.com (Home Page).                          For direct information call   910-987-5314äóìYourFlagäóù Experiences license allows more entrepreneurs to be more successful with far less risk.  The license:      Allows entrepreneurs to finance and purchase with better prices and terms.       Increases operating profits and multiples of earnings.       Increases the depth and size of markets.       Allows the entrepreneur to sell & fund his business in over 12 different ways.      Allows ALL Stakeholders (including banks) to sell their business their way.    The äóìYourFlagäóù license and ALL protocols are part of & transfer with the deed.     äóìYourFlagäóù  designed to eliminate the need for expensive management companies.    Eliminates the restrictions on Experiences and Upside potential of franchising. Now you can sell your business, maximize your ROI and protect ALL Stakeholders.Our strategy is based on owning hospitality businesses, the real estate and the License systems and protocols.  We are positioned to capitalize on artifically low values in the golf, ski, resort, ranch, restaurant, casino, leisure hotel experience businesses. We are focused on licensing complex  businessess -  äóìYourFlagäóù Experiences License dba äóìYourFlagäóù.  This license positions ExperiencesCorp to raise funds to capitalize on artificially low priced real estate and business values in the hospitality industry.  Our major goals center on:  re-purposing, re-positioning and re-developing  troubled properties to achieve above market returns due to the  äóìYourFlagäóù license and the lack of suitable funding!   äóìYourFlagäóù license & business model works for ALL hospitality properties and companies.  We seek businesses that can exceed market returns plus prosper from opportunities we do not purchase however, we believe owning it all is necessary to reach above market returns.   A majority of our team has been trained by the nations leading Club & Resort turnaround experts. 

    Show Less","Business Services:Advertising; Data Processing & Outsourced Services; Diversified Support Services; Environmental & Facilities Services; Human Resource & Employment Services; IT Consulting & Other Services; Research & Consulting Services

Consumer Goods:Consumer Durables & Apparel; Leisure Products

Financial Services:Asset Management & Custody Banks; Banks; Consumer Finance; Credit & Debit Card Issuers; Diversified Banks; Diversified Capital Markets; Diversified Financials; Investment Banking & Brokerage; Mortgage Banker; Other Diversified Financial Services; Payment Processors; Regional Banks; Specialized Finance; Thrifts & S&Ls

Real Estate:Diversified Real Estate Activities; Real Estate Development; Real Estate Investment Trusts (REITs); Real Estate Operating Companies; Real Estate Services

Retail:Specialty Stores

Show Less",[],,"Headquarters HQ
1886 S E Torch Lake Dr., 
Bellaire, MI 49615
US",John Meeske,https://network.axial.net/company/the-resort-experience-company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Smith Gruppe, L.L.C.",Consultant ,Greensboro, NC,http://www.smithgruppe.com,"We have a track record of success, spanning many years, in the small business, and lower middle-markets. Our entire network of talent and experienced executives have provided value-added analytical support, interim operating support, strategic assistance, team building and hiring, and financial structuring support that have helped our clients achieve leadership positions in their respective industries. Our strategic capital partners have generally provided funding for and/or invested in most of these start-up and portfolio companies for 3 to 7 years and some have held some equity positions for more than 10 years.

    Show Less",Generalist,[],,"Headquarters HQ
P. O. Box 1924, 
Greensboro, NC 27402
US","Antoine Smith
Chairman & CEO",https://network.axial.net/company/smith-gruppe-l-l-c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

PreConstruction Catalysts,Consultant ,Olney, MD,http://www.preconstructioncatalysts.com,"When it comes to client development, relationships matter more than a deal: deals come when the relationship is solid with mutual respect, integrity and accountability. Trust and genuine concern for the client's well-being is a lost art. My strengths are building a working relationship with people, and an innate ability to facilitate communication between these parties with direct relationships between the Principals on either side of the table, facilitating the introduction and cultivation of the new relationship. My job is building new high-level, high-net-worth relationships between Principals where none existed before. We don't talk about a specific deal or opportunity until the underlying foundation of the relationship has been established. SPECIFIC RELATIONSHIPS I am privileged to be working with a certain private equity firm that specializes in mid-cap and large-cap ventures; our core business concentration includes traditional and non-traditional asset management, assets for securitization, financial services, real estate, development, hospitality, technology and global telecommunications, media, oil and energy, transportation, manufacturing, mergers and acquisitions and medical and pharmaceutical equity investments.  MANAGED BUY/SELL PRIVATE PLACEMENT PROGRAM Working under the authority of a worldwide commitment holder for paper, I inform UHNWI clients about the process and procedures, and aid them in a complete application for consideration by the trade group. REAL ESTATE DEAL FACILITATION

    Show Less",Generalist,[],"
December 2014
N/A was acquired by N/A.

Industries
Food Distributors, Food Retail, Restaurants

December 2014
PCC was acquired by n/a.

Industries
Gold Products, Metal Ore Mining, Other Metal & Mineral Products
","Headquarters HQ
18156 Darnell Drive, 
Olney, MD 20832
US","Michael Weiner
CEO",https://network.axial.net/company/preconstruction-catalysts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

The Financial Executives Consulting Group,Consultant ,6820, CT,http://www.thefecg.com,"Our focus is on short term assignments with high benefit to cost ratios. When deadlines have to be met, or when your firm at the moment lacks the financial and/or operational expertise to get the job done, who better to call than your friends at The FECG?OUR MISSIONThe mission of The FECG is to provide our clients with a unique array of financial talent to solve their immediate and most pressing issues while avoiding the issue of permanent changes in a company's cost structure. On each assignment, the essence of our problem solving abilities and talent pool is reflected by our ""all senior professionals, all the time"" approach.OUR CONSULTANTSEach of The FECG's managing directors has over 20 years of experience in the financial issues that confront an organization. They are practitioners who have often faced the issues your company is facing today.In addition, The FECG is supplemented and supported by a very large and talented network of senior executives, all of whom have typically held financial positions such as Vice President of Finance, Chief Financial Officer, Controller and Treasurer or operating positions such as President, General Manager, Division Head, and Vice President of Operations. They have solved problems at companies ranging from Fortune 500 size organizations to those that are the envy of larger companies because of their superior services and growth potential.Working directly with the Chief Executive Officer, Chief Financial Officer, Vice President of Finance, Treasurer, Controller or other senior level financial executive, we can leverage your abilities in situations where current corporate staff or skill levels are insufficient to take on additional ""special projects"" AND the crisis du jour. On each assignment we bring:- A ""hands on"" orientation - each consultant has had operating responsibilities and may have faced and resolved a similar situation.- A complete solution - our network gives us access to a huge pool of talent that can solve your immediate financial issues and provide the power to integrate the new solution into existing policies and procedures.- A cost effective solution - we operate without the large overhead associated with the Big 5 who are required to charge higher rates for less experienced ""juniors"".

    Show Less",[],[],,"Headquarters HQ
2513 old kings highway north, Suite 303
06820, CT 06820
US","Bruce Lynn
Managing Partner",https://network.axial.net/company/the-financial-executives-consulting-group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Clarity Consulting,Consultant ,CHICAGO , IL,http://www.claritycon.com/,[],[],[],,"Headquarters HQ
20 N WACKER , 1450
CHICAGO , IL 60606
US",Jessica LaVine,https://network.axial.net/company/clarity-consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Axial,Corporation ,New York, NY,http://www.axial.net,"Founded in 2010, Axial is an online professional network connecting entrepreneurs, M&A advisors and capital partners. Members use Axial to discover and exchange business development and investment opportunities, create, manage and promote their company identity and expertise, and expand and engage their business development networks.  In 2015, Axial's members signed over 10,000 NDAs and closed over $1.5B in total deal volume.  Axial's network is designed to serve CEOs and investment professionals who are contemplating, pursuing, and executing transactions between $5M and $200M in value.","Financial Services:Financial Technology

Technology:Internet Software & Services; Software","

Acquiring Financial Information Businesses
Financial Services
$0.0 - $50.0M
-$2.0M - $10.0M

Private Company Financial Data
Business Services
$0.0 - $10.0M
-$2.0M - $5.0M

",,"Headquarters HQ
902 Broadway, 19th Floor
New York, NY 10010
US","Peter Lehrman
CEO

Andrew Cialino

Dan Lee
Director, Product Management",https://network.axial.net/company/axial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"E&A companies, Inc.",Corporation ,Indianapolis, IN,http://www.ea-companies.com,"Who is E&A? Weäó»re businesspeople who, since 1977, have enjoyed a track record of working alongside entrepreneurs to help companies reach their true potential. One of our most recent successes came from helping to take Udiäó»s Gluten Free Foods from $6 million in sales to more than $100 millionäóîin just two and a half years. Weäó»re extremely proud of that accomplishment. How Do We Operate? We pride ourselves on knowing how to effectively operate companies. We understand how to accelerate strengths and bridge gaps in an organization by utilizing a fairly simple, extremely hands-on process. Central to this processäóîand a key to our successäóîis our sense of urgency and our ability to make decisions quickly. We work daily with the leaders of the company to take the business to the next level by focusing on long-term value creation. Our philosophy runs counter to the buy-and-flip approach exercised by most firms. When Should We Start a Discussion? If youäó»ve built a successful companyäóîand have a strong customer following to go with itäóîthis could be a good time for us to open a dialogue. Many owners ask about our typical exit timing. The fact is, there is no äóìtypical.äóù We continue to add value until we and the owner agree the time is right for a sale. We have no fixed expectations. Our Strategy Our strategy is to build on the inherent strengths of a companyäó»s people, products and brand. We amplify these through investment, day-to-day operations and the pursuit of new opportunities. Our goal is to maximize a companyäó»s long-term value. We work to achieve this value through a disciplined yet unique sales and marketing management style. We understand that the best opportunities often require nontraditional thinking. Therefore, we search for opportunities in areas that fall outside the mainstream, and we attempt to discover value that others may overlook. Having no fixed ROI expectations or time horizons for exit contributes to the atypical manner in which we work. Weäó»re hands on, working alongside the owners of the businesses we invest inäóîranging from sole founders to family-run companies. We provide infrastructure, expertise and capital to reach our collective goals. Weäó»ve found this collaborative approach to be quite rewarding.

    Show Less","Consumer Goods:Agricultural Products; Apparel, Accessories & Luxury Goods; Auto Parts & Accessories; Automotive Products; Brewers; Consumer Durables & Apparel; Consumer Electronics; Distillers & Vintners; Food, Beverage & Tobacco; Footwear; Home Furnishings; Homebuilding; Household & Personal Products; Household Appliances; Household Products; Housewares & Specialties; Leisure Products; Packaged Foods & Meats; Personal Products; Photographic Products; Soft Drinks; Textiles; Tobacco

Distribution:Food Distributors

Energy & Utilities:Energy Equipment & Services; Oil & Gas Equipment & Services

Financial Services:Diversified Financials; Multi-Sector Holdings

Health Care:Health Care Distributors; Health Care Equipment; Health Care Supplies

Industrials:Aerospace & Defense; Building Products; Capital Goods; Industrial Conglomerates

Life Sciences:Biotechnology; Life Sciences Tools & Services; Nutraceuticals; Pharmaceuticals

Manufacturing:Heavy Manufacturing; Industrial Machinery & Equipment; Light Manufacturing; Office Electronics; Paper Products; Personal Products; Photographic Products; Textiles

Materials:Chemicals; Diversified Chemicals; Forest Products; Paper & Forest Products; Paper Products; Specialty Chemicals

Retail:Food Retail; General Merchandise Stores; Hypermarkets & Super Centers; Internet Retail; Retail Distributors; Specialty Stores

Technology:Health Care Technology; Software

Show Less","

E&A Companies Seeking Manufacturing Companies
Manufacturing
$1.0M - $25.0M
$500.0K - $6.0M

Consumer Brand-Building Experts
Consumer Goods
$1.0M - $25.0M
$500.0K - $6.0M

","
January 2013

E&A companies, Inc. acquired Lysse.
Industries
Apparel, Accessories & Luxury Goods

October 2010

E&A companies, Inc. acquired Dynaloy.
Industries
Specialty Chemicals

April 2010

E&A companies, Inc. participated in the recapitalization of Udi's Healthy Foods.
Industries
Food Distributors, Food Retail, Packaged Foods & Meats

January 2008

E&A companies, Inc. acquired Ultra Solutions.
Industries
Electronic Components, Health Care Equipment

January 1998

E&A companies, Inc. acquired Con-Tech Lighting.
Industries
Electrical Components & Equipment

July 1983

E&A companies, Inc. acquired Apex.
Industries
Aerospace & Defense

July 1977

E&A companies, Inc. acquired Car Brite.
Industries
Auto Parts & Accessories, Specialty Chemicals
","Headquarters HQ
101 West Ohio Street , Suite 1350
Indianapolis, IN 46204
US","John Bennett
Business Development Associate

Tom Laughner
Director of Business Development",https://network.axial.net/company/ea-industries-inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Nassau Candy Specialty Confections and Fine Foods,Corporation ,Hicksville, NY,http://www.nassaucandy.com,"Nassau Candy Distributors, Inc. (""Nassau Candy"") is a leading manufacturer, importer and distributor of specialty confections and fine foods. We operate across four divisions: Confectionery Distribution; Confectionery Manufacturing; Gourmet and Natural Foods Distribution; and Customized / Promotional Products. Our footprint extends across seven distribution facilities, providing national distribution coverage (New York; Florida; Michigan; California (SF / Los Angeles; Texas; and Mississauga, ON) and two manufacturing facilities. We carry an assortment of over 10,000 confectionery and gourmet SKUs and supply thousands of customers throughout North America and the Caribbean everyday, ranging from the largest mass merchants to Fortune 500 corporations to thousands of independent stores. We are an entrepreneurial company and have grown historically via both M&A and organic growth. We are an experienced acquirer. We seek to ""partner"" with businesses and work to ""free up"" entrepreneurs and management teams to focus on what they do best / most enjoy. We have the resources, infrastructure, and experienced senior leadership to help grow, manage and lead partner middle-market companies.

    Show Less","Consumer Goods:Food, Beverage & Tobacco; Packaged Foods & Meats

Distribution:Food Distributors",[],"
October 2015
J. Sosnick & Son was acquired by Nassau Candy Specialty Confections and Fine Foods.

Industries
Food Distributors

November 2014

Nassau Candy Specialty Confections and Fine Foods acquired A La Carte Line  (Chicago).
Industries
Food Distributors

June 2011
Taylor & Grant Specialties, Inc. was acquired by NC Chocolate Manufacturing LLC.

Industries
Packaged Foods & Meats

August 2010

Nassau Candy Specialty Confections and Fine Foods acquired Big Sky Naturals.
Industries
Food Distributors

June 2010
Chocolate Inn, Ltd.  was acquired by NC Chocolate Manufacturing, LLC.

Industries
Packaged Foods & Meats
","Headquarters HQ
530 West John Street, 
Hicksville, NY 11801
US","Lance Stier
President",https://network.axial.net/company/nassau-candy-specialty-confections-and-fine-foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Digital Peripheral Solutions Inc.,Corporation ,Anaheim , CA,http://www.q-see.com,"Q-See is the forward-thinking solution for those who value performance and efficiency without ever sacrificing the user experience. Q-See aims to support consumers and business owners by empowering them to focus on living their lives, because we believe safety is a right for all.We provide easy-to-use smart surveillance solutions that feature cutting edge technology and enhance the lifestyles of those who use them. Q-See sets industry standards, constantly evolving alongside the ever-changing connected technology landscape. To anyone who wants true peace of mind, Q-See is the smart security brand that provides sleek, user-friendly, and innovative security - because your surveillance system should not only fit, but enhance your lifestyle. Q-See surveillance solutions are widely available through leading online and storefront retail channels as well as a growing base of international distributorsCorporate Values: Loyalty, Family, Respect, Integrity, Compassion.

    Show Less","Business Services:Security & Alarm Services

Retail:Retail Distributors

Technology:Electronic Equipment & Instruments; Hardware

Show Less",[],,"Headquarters HQ
8015 E. Crystal Drive, 
Anaheim , CA 92807
US",Rishi Sharma,https://network.axial.net/company/digital-peripheral-solutions-inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

The Heritage Group,Corporation ,Indianapolis, IN,http://www.thginfo.com,"Since 1930, The Heritage Group has managed a diverse set of companies involved in highway construction and materials, environmental services, energy sales and marketing, and chemical refining. This vast experience allows for the diversity of a large conglomerate while maintaining the personal service of a smaller, customer focused, organization. The Heritage Group is a growth-oriented company, both domestically and internationally, with operations in North America, Europe, and Asia and a client network that spans the globe. A long-term financial approach, combined with a conservative investment philosophy and a commitment to sustainability, has placed The Heritage Group on a solid foundation to pursue growth opportunities as they occur. The focus of The Heritage Group is innovation, quality and service. At the core of this focus is Heritage Research Group, the research and development arm that provides new products, processes and training to improve the way The Heritage Group companies serve their clients. This entrepreneurial spirit has allowed the company to expand through formation of a number of new innovative start-ups and by sound strategic acquisitions. Heritage Research Group shares the commitment to use technology in a beneficial way, building competitive advantages in a global economy. The Heritage Group is really a host of companies with one vision - building long term relationships with customers and vendors based on trust and confidence. A team approach to management allows The Heritage Group to provide creative and effective solutions to issues affecting our customers and their industries. More information is available at http://www.thginfo.com/. Thank you for your interest in The Heritage Group and please do not hesitate to contact us via the contact information provided on Axial.

    Show Less","Business Services:Environmental & Facilities Services

Distribution:Trucking

Energy & Utilities:Alternative Energy; Alternative Energy Distribution; Alternative Energy Production; Energy Equipment & Services; Integrated Oil & Gas; Oil & Gas Equipment & Services; Oil & Gas Exploration & Production; Oil & Gas Refining & Marketing; Oil & Gas Storage & Transportation; Oil, Gas & Consumable Fuels

Industrials:Building Products; Capital Goods; Construction & Engineering; Heavy Electrical Equipment; Industrial Conglomerates

Manufacturing:Building Products; Construction & Farm Machinery & Heavy Trucks; Construction Materials; Electronic Manufacturing Services; Heavy Manufacturing

Materials:Chemicals; Commodity Chemicals; Construction Materials; Diversified Chemicals; Fertilizers & Agricultural Chemicals; Industrial Gases; Specialty Chemicals

Show Less","

Lithium Ion Battery Reuse, Recycling, Design and Grid Storage
Industrials
$0.0 - $200.0M
-

Seeking Niche Manufacturers of Specialty Chemical Products
Materials
$30.0M - $300.0M
$5.0M - $25.0M

Rail Acquisitions
Industrials
$5.0M - $30.0M
-

Industrial-related Technology
Technology
$2.0M - $75.0M
-

","
October 2012

The Heritage Group acquired Solid Oak.
Industries
Oil & Gas Equipment & Services

January 2008

The Heritage Group acquired Monument Chemical.
Industries
Specialty Chemicals

January 2000

The Heritage Group provided capital to Heritage Interactive Services.
Industries
Environmental & Facilities Services

January 1994

The Heritage Group acquired Milestone Contractors.
Industries
Construction & Farm Machinery & Heavy Trucks, Highways & Railtracks

January 1993

The Heritage Group acquired Legacy Resources.
Industries
Oil & Gas Exploration & Production

January 1967

The Heritage Group acquired US Aggregates.
Industries
Construction Materials, Nonmetallic Mineral Mining & Quarrying

January 1965

The Heritage Group acquired Heritage Environmental Services.
Industries
Environmental & Facilities Services, Oil & Gas Equipment & Services, Trucking

January 1956

The Heritage Group provided capital to Asphalt Materials, Inc..
Industries
Construction Materials, Construction Materials

January 1930

The Heritage Group provided capital to Crystal Flash Petroleum.
Industries
Oil & Gas Storage & Transportation
","Headquarters HQ
5400 W 86th St, 
Indianapolis, IN 46268
US","Jonathan Schalliol
Director, Strategy + M&A

Rob Einterz
Monument Chemical - Business Development

Amy Conley",https://network.axial.net/company/the-heritage-group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Snapogee,Corporation ,Elmwood Park, NJ,http://snapogee.com,"Snapogeeäó»s solves two major mobile issues:  poor engagement and irrelevant mobile display ads, costing $20B in lost mobile revenue. Using a mobile game platform, we connect Mom and child to her family circle using live photos to drive engagement. Based on interactions with content and other members of the circle, we build attribution models of an entire family's interests and serve behavioral advertising specific to each individual member.","Consumer Services:Education Services; Specialized Consumer Services

Media:Advertising; Digital & Social Media

Retail:Internet Retail

Technology:Internet Software & Services; Software

Show Less",[],,"Headquarters HQ
198 Market Street, 
Elmwood Park, NJ 07407
US","Tom Stein
CEO",https://network.axial.net/company/snapogee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Triad Semiconductor,Corporation ,Winston-Salem, NC,http://www.triadsemi.com,"Triad Semiconductor is an analog and mixed signal integrated circuit solutions provider based in Winston Salem, NC.  Triad has developed disruptive technology enabling the fastest time to market at the lowest total cost of ownership for application specific integrated circuits. (ASICS)  Triad holds 14 issued patents protecting both hardware and software inventions.Sensor usage worldwide is exploding in all market verticles with demands for size reduction, power reduction, cost reduction and I.P. protection.  This is best addressed through system integration and Triad is the industry leader in this market segment.  Triad has been growing at 50% - 100% per year and is poised for breakout growth and proifability in the future.  Triad is seeking $15M - $20M in a combination of debt and equity to fund growth and continued R&D.  

    Show Less",Technology:Hardware; Semiconductors,[],,"Headquarters HQ
1760 Jonestown Road, 
Winston-Salem, NC 27103
US","Lynn Hayden
President

Mark Goode
CFO",https://network.axial.net/company/triad-semiconductor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Keares Electrical Contractors,Corporation ,Exton, PA,http://www.keareselectric.com/,"We are a full service electrical contractor offering our customers the best in Commercial, Industrial, Institutional, and Residential service, including New Construction, Service & Renovations. Offering Bucket Truck and Line Truck services, we are capable of handling all of your High Voltage needs, from underground duct banks to overhead pole distributions. With our full-time electrical excavating crews, we offer professional and safe electrical site work including layouts of new distribution and relocations of Primaries and Secondaries. Our full-time, in house Computer Aided Drafting gives us an edge on the competition by allowing our customers to achieve Design/Build projects, using the best systems available within the industry. Our low voltage division offers a full spread of services including Phone (analog & digital), Data (cat5, cat6 & fiber optics), Fire Alarm Systems, Security Systems, CATV (coax & satellite) and Sound Systems. Please check our service page for a more in-depth listing of our services and experience.

    Show Less","Energy & Utilities:Alternative Energy; Alternative Energy Distribution; Alternative Energy Production; Electric Utilities; Utilities

Industrials:Capital Goods; Construction & Engineering",[],,"Headquarters HQ
633 Jeffers Circle, 
Exton, PA 19341
US","Bob Keares
President

Lou Nazarides",https://network.axial.net/company/keares-electrical-contractors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

ABB Partners LLC,Corporation ,Palm Beach, FL,https://network.axial.net/company/island-club-brands,"ABB Partners, LLC is a Florida-based holding company. Portfolio companies include Grain & Barrel, an innovative craft spirits company, and Intercoastal Brands, a c-store focused brand development company. ABB also has deep experience in the Brazilian market, both from a transaction and ownership standpoint. Assets in Brazil include Carnaval, the most widely distributed Brazilian wine in the U.S. market, and Cabana Cachaca.","Consumer Goods:Agricultural Products; Apparel, Accessories & Luxury Goods; Auto Parts & Accessories; Automotive Products; Brewers; Consumer Durables & Apparel; Distillers & Vintners; Food, Beverage & Tobacco; Household & Personal Products; Household Products; Leisure Products; Packaged Foods & Meats; Personal Products; Soft Drinks

Consumer Services:Hotel, Resort & Cruise Line Operators; Restaurants

Distribution:Food Distributors

Industrials:Aerospace & Defense; Capital Goods

Life Sciences:Nutraceuticals

Manufacturing:Auto Parts & Accessories; Light Manufacturing

Media:Digital & Social Media

Show Less",[],"
August 2012

ABB Partners LLC provided capital to Island Club Brands.
Industries
Distillers & Vintners

December 2011

ABB Partners LLC acquired Boodles Gin.
Industries
Distillers & Vintners

June 2011

ABB Partners LLC provided capital to Carnaval Sparkling LLC.
Industries
Distillers & Vintners

June 2006

ABB Partners LLC provided capital to Cabana Cachaca LP.
Industries
Distillers & Vintners
","Headquarters HQ
340 Royal Poinciana Way, Suite 317/325
Palm Beach, FL 33480
US","Matti Anttila
